en,pl,pos,description
"'Cancel' to stop, 'OK' to","Kliknij „Anuluj”, aby anulować tę operację, lub „OK”, aby ją sfinalizować.",expression,
"<a href=""https://wordpress.org/support/"">","<a href=""https://pl.forums.wordpress.org/"">",expression,
abilities,Działania,verb,
ability,działanie,noun,
activate,włącz,verb,
activate,włączać,verb,"raczej unikajmy słowa ""aktywować""; używamy go tylko w kontekście aktywacji konta, w innych przypadkach piszmy ""włączać"""
activating,włączanie,adverb,
"add a new",utwórz,expression,"""add a new"" - tworzy nowy element, więc ""dodaj nowy"" nie jest dobre"
"add new",utwórz,expression,
"admin bar","pasek administratora",noun,
affect,"mieć wpływ",verb,
AI,SI,abbreviation,"czyli ""sztuczna inteligencja"""
anchor,kotwica,noun,
anchors,kotwice,noun,
asides,"notatki na marginesie",noun,
avatar,awatar,noun,
"await moderation","oczekiwać na moderację",verb,
billing,rozliczeniowy,noun,"billing adres - > Adres rozliczeniowy
billing name -> nazwa rozliczeniowa
etc. etc."
blog,blog,noun,"dopełniacz: blogu"
border,obramowanie,noun,
breadcrumb,okruszki,noun,"ewentualnie ścieżka okruszków"
"Bulk Actions","działania zbiorcze",expression,
cache,"pamięć podręczna",noun,"(wymowa: kesz)"
caption,podpis,noun,
changeset,"zestaw zmian",noun,
"child theme","motyw potomny",noun,
compatible,"zgodny [może być też ""kompatybilny""]",adjective,
content,treść,noun,
"contributing to WordPress","pomoc w rozwoju WordPressa",noun,
cookie,"plik ciasteczka",noun,
core,,noun,"[chodzi o kod samego WordPressa, a nie o zespół tworzący; dla przykładu core developer - programista, który pisze kod ""core"", czyli po prostu WordPressa]"
"Core Blocks","bloki bazowe",expression,"dotyczy określeń na bloki wbudowane w WordPressa (core)"
"could not","nie można było",verb,
credits,autorzy,noun,
current,"obecny, aktualny",adjective,
current,używany,noun,"[jeśli w kontekście ""włączony""]"
custom,własny,noun,"Zazwyczaj tłumaczymy właśnie jako ""własny"" - no chyba że coś jest rzeczywiście ""niestandardowe"". Ale ""custom post type"" -> ""własny typ treści""."
customize,dostosuj,verb,
customizer,konfigurator,noun,
"Dark Mode","tryb ciemny",expression,
dashboard,kokpit,noun,
database,"baza danych",noun,
deactivate,wyłącz,verb,
deactivating,wyłączanie,adverb,
delete,usuwać,verb,
deprecated,przestarzały,verb,"is deprecated - jest przestarzałą praktyką"
"documentation on","dokumentacja: ",expression,
eagerness,potrzeba,noun,"w kontekście przewidywania potrzeb"
email,e-mail,noun,
embed,osadzać,verb,
enable,włącz,verb,
enter,wpisz,verb,"Osoby ze spektrum autyzmu po użyciu ""wprowadź"" odbiorą to dosłownie w pierwszym znaczeniu ""wprowadź kogoś gdzieś""."
excerpt,zajawka,noun,
feature,funkcja,noun,
"featured image","obrazek wyróżniający",expression,
"featured media","wyróżniający plik medialny",expression,
feedback,uwagi,noun,
folder,katalog,noun,
font,"krój pisma",noun,
"Font Face","odmiana kroju pisma",noun,
"font size","wielkość liter",expression,
"for the resource","dla zasobu",expression,
"front page","strona główna",noun,
fullscreen,"tryb pełnoekranowy",noun,
header,nagłówek,noun,
high-res,wysoka,noun,"Proszę używać ""wysoka"" w kontekście ""high-res screen""."
icon,ikonka,noun,"""Ikona"" - to obraz sakralny powstały w kręgu kultury bizantyńskiej."
ID,identyfikator,noun,
image,obrazek,noun,"NIE obraz!"
importer,importer,noun,"dop.: importera, bier.: importer; mian. lm.: importery"
"included content","dołączona treść",expression,
inserter,wybierak,noun,"Wybierak do wstawiania bloków - w treści, w widżetach czy w edycji witryny."
involved,"biorący udział",verb,"get involved = weź udział"
layout,układ,noun,
link,odnośnik,noun,
load,wczytywać,verb,
locale,"ustawienia regionalne",noun,
"log in","logować się",verb,
logger,rejestrator,noun,
"maintenance release","wydanie z poprawkami błędów",noun,
"media library",multimedia,noun,
"menu location","położenie menu",expression,
"missing function","brak funkcji",expression,
"Multisite Network","sieć witryn",expression,
"new tab","nowa karta",expression,
nonce,"kod jednorazowy",noun,
note,notatka,noun,
notice,powiadomienie,noun,
overlay,nakładka,noun,"Używamy ""nakładka"" w przypadku elementów modalnych."
padding,dopełnienie,noun,"lub dopełnienie wewnętrzne"
page,strona,noun,
panel,panel,noun,"jeśli w sensie ""ekran"", to ""ekran"", w przeciwnym razie ""panel"""
parent,nadrzędny,noun,"nie: rodzic"
"parent theme","motyw nadrzędny",noun,
"pass as argument","podawać jako argument (funkcji)",verb,
pattern,wzorzec,noun,
permalink,"bezpośredni odnośnik",noun,
"persistent cache","trwała pamięć podręczna",noun,
"please try a again","proszę spróbować ponownie",noun,
plugin,wtyczka,noun,
POS,"punkt kasowy",expression,"Uwaga, np. ""POS Terminal"" to terminal kard płatniczych, generalnie hasło POS mocno zależy od kontekstu."
post,wpis,noun,
"post format","format wpisu",noun,
"post type","typ treści",noun,"stare, nieaktualne tłumaczenie: typ wpisu"
posts,wpisy,noun,
preview,podgląd,noun,
preview,podejrzyj,verb,
protected,zabezpieczony,adjective,
pullquote,wtrącenie,noun,
"Query block","blok zapytania",expression,
rating,ocena,noun,"klasyfikacja, jeśli np. jakichś treści, które mogą być nieodpowiednie; ocena, jeśli czegoś, czemu np. przyznaje się ileś gwiazdek"
"Read more","Dowiedz się więcej",expression,
reflect,"mieć wpływ",verb,
release,wydanie,noun,
remove,usuwać,verb,"kiedy już naprawdę nie da się inaczej, może być i ""kasować"" :)"
"reusable block","blok wielokrotnego użycia",expression,
revision,wersja,noun,
screen,ekran,noun,
"secret key","klucz prywatny",noun,
security,zabezpieczenia,noun,
"security release","wydanie z poprawkami błędów w zabezpieczeniach",noun,
"Select bulk action","Wybierz masowe działanie",expression,
"service provider","dostawca usług",noun,
sidebar,"panel boczny",noun,
site,witryna,noun,
slider,"pokaz slajdów",noun,
slug,"uproszczona nazwa",noun,"uproszczona nazwa czegoś, np. post slug to uproszczona nazwa wpisu używana w odnośnikach"
"Sorry, you are not allowed to","Brak uprawnienia do",expression,"W Polsce nie używa się ""sorry"". To typowe dla angielskiego ale nie polskiego, chyba że systemowi jest naprawdę kogoś szkoda…"
"speculation rule","reguła przewidywania",expression,
"State of the Word","Stan Słowa",noun,"Nazwa dorocznego wystąpienia Matta"
static,statyczny,adjective,
sticky,przypięty,noun,
"Style Book","księga stylów",noun,
stylesheet,"arkusz stylów",noun,"(nie stylu)"
subclass,podklasa,noun,
submenu,podmenu,noun,
support,"pomoc techniczna",noun,
support,wspierać,verb,
support,obsługiwać,verb,
"support forum","forum wsparcia",noun,
tagline,slogan,noun,
"template part","fragment szablonu",noun,
term,taksonomia,noun,
testimonial,referencja,noun,
"text direction","kierunek pisania",noun,"(nie tekstu)"
"the resource",zasób,noun,
theme,motyw,noun,
thumbnail,miniaturka,noun,
trash,kosz,noun,
trash,"przenosić do kosza",verb,
tutorial,poradnik,noun,
"Twenty Twenty-Five","Dwadzieścia Dwadzieścia-Pięć",noun,"Nazwa motywu"
type,rodzaj,noun,
unique,unikatowy,noun,"UWAGA! Nie ""unikalny"", bo to przymiotnik odczasownikowy - od czasownika ""unikać""."
URL,"adres URL",noun,
video,film,noun,
view,zobacz,verb,
visit,"przejdź na",verb,"np. przejdź na witrynę [WordPress często zachęca do ""odwiedzenia"" własnej witryny po wprowadzeniu na niej jakichś zmian, ale odwiedziny składa się raczej komuś innemu, dlatego wyjątkowo ""przejdź"", jeśli chodzi o naszą witrynę]"
vivid,jaskrawy,adjective,
website,"witryna internetowa",noun,
widget,widżet,noun,
"You are about to",Zamierzasz,expression,
"you do not have permission","brak uprawnień",noun,
your,twój,noun,"Proszę nie kapitalizować zaimków osobowych, więcej: https://sjp.pwn.pl/poradnia/haslo/zaimki-w-zwrotach-do-czytelnika;12352.html"
