en,ne,pos,description
access,पहुँच,noun,
accessibility,सर्वसुगमता,noun,
accordion,अकोर्डियन,noun,
account,खाता,noun,
activation,सक्रियकरण,noun,
active,सक्रिय,noun,
add,थप्नु,verb,"थप गर्नु  is also correct. But we are using थप्नु for consistency."
admin,"प्रशासक, व्यवस्थापक",noun,
administration,प्रशासन,noun,
administrative,"प्रशासनिक , प्रशासकीय",adjective,
administrator,प्रशासक,adjective,
allocate,"निर्धारण गर्नु, विनियोजन गर्नु",verb,
allocation,निर्धारण,noun,
alphanumeric,अल्फान्युमेरिक,noun,
amber,अम्बर,adjective,
analytics,एनालिटिक्स,noun,
anchor,एङ्कर,noun,
Apache,अपाचे,noun,
API,एपिआई,noun,
application,एप्लिकेसन,noun,
apply,"लागू गर्नु",verb,
approve,"स्वीकृत गर्नु",verb,
approved,स्वीकृत,adjective,
archive,अभिलेख,noun,"संग्रह, सङ्ग्रह are also correct but use अभिलेख for consistency."
archive,"सङ्ग्रहित गर्नु",verb,
argument,आर्गुमेन्ट,noun,
Array,एरे,noun,
arrow,वाण,noun,"बाण is also correct but use वाण for consistency."
assigned,"तोकिएको, निर्दिष्ट",adjective,
associated,सम्बद्ध,adjective,
attribute,विशेषता,noun,
audio,अडियो,noun,
authentication,प्रमाणीकरण,noun,
authorization,प्राधिकरण,noun,
auto-update,"स्वत: अपडेट",noun,
automatic,स्वचालित,adjective,
back,पछाडि,noun,
backend,ब्याकइन्ड,noun,
background,पृष्ठभूमि,noun,
backup,"जगेडा, ब्याकअप",noun,
"backward compatibility",पश्चानुकुलता,adjective,
block,"ब्लक ",noun,
blockquote,उद्धरण,noun,
blue,निलो,adjective,
border,सीमा,noun,
"brand new","बिल्कुल नयाँ",adjective,
breadcrumb,ब्रेडक्रम,noun,
brown,खैरो,adjective,
built-in,अन्तरनिर्मित,adjective,
bulk,एकमुस्ट,noun,
button,बटन,noun,
calendar,क्यालेन्डर,noun,
capability,क्षमता,noun,
caption,क्याप्सन,noun,
category,वर्ग,noun,
chat,च्याट,noun,
checklist,जाँचसूची,noun,
"child theme","चाइल्ड थिम",noun,
choose,"छान्नु, छनोट गर्नु",verb,
color,"रङ्ग, रंग",noun,
column,कोलम,noun,
command,कमान्ड,noun,
comment,टिप्पणी,noun,"प्रतिक्रिया is not correct. response = प्रतिक्रिया"
comment,"टिप्पणी गर्नु",verb,
commercial,व्यावसायिक,noun,
communication,सञ्चार,noun,
compatibility,अनुकूलता,noun,
compatible,अनुकूल,adjective,
configuration,कन्फिगरेसन,noun,
configure,"कन्फिगर गर्नु",verb,
confirm,"पुष्टि गर्नु",verb,
confirmation,पुष्टीकरण,noun,
confirmed,पुष्टीकृत,adjective,
connection,जडान,noun,
content,सामग्री,noun,
control,"कन्ट्रोल, नियन्त्रण",noun,
cookie,कुकी,noun,
coordinate,निर्देशाङ्क,noun,"Eg: map coordinates = नक्सा निर्देशाङ्कहरू"
coordinate,"समन्वय गर्नु",verb,
coordinator,संयोजक,adjective,
copy,"कपी गर्नु, प्रतिलिपि गर्नु",verb,
copy,"कपी, प्रतिलिपि",noun,
cover,कभर,noun,
create,"सिर्जना गर्नु",verb,"सृजना गर्नु is also correct but we are not using it here due to consistency."
crop,"काँटछाँट गर्नु, क्रप गर्नु",verb,
crop,"काँटछाँट, क्रप",noun,
CSS,सिएसएस,noun,
current,"हाल, वर्तमान",noun,
custom,कस्टम,noun,
Customize,कस्टमाइज,verb,
Customizer,कस्टमाइजर,noun,
cyan,सायान,adjective,रङ्ग
database,डाटाबेस,noun,
date,मिति,noun,
decode,असङ्केतन,noun,
default,पूर्वनिर्धारित,noun,
delete,मेटाउनु,verb,"Do no confuse with remove."
deprecated,बहिष्कृत,noun,
description,विवरण,noun,
developer,डेभलपर,noun,
dialog,डाइलग,noun,
digit,अङ्क,noun,
directory,डाइरेक्टरी,noun,
disable,"अक्षम गर्नु",verb,
"distraction free","विकर्षण मुक्त",noun,
document,डकुमेन्ट,noun,
documentation,दस्तावेज,noun,
download,डाउनलोड,noun,
draft,ड्राफ्ट,noun,
duotone,डुओटोन,noun,
dusk,पीतसूर्य,adjective,
edit,"सम्पादन गर्नु",verb,
email,इमेल,noun,"ईमेल is not correct"
embed,इम्बेड,noun,
enable,"सक्षम गर्नु",verb,
encoded,सङ्केतित,adjective,
encoding,सङ्केतन,noun,
enhanced,परिष्कृत,adjective,
enlarged,विस्तारित,adjective,
error,त्रुटि,noun,
event,कार्यक्रम,noun,"घटना is not correct."
excerpt,पाठांश,noun,"सारांश is summary"
exclusive,असमावेशी,noun,"Eg, exclusive policy - असमावेशी नीति"
exist,"अस्तित्वमा हुनु, अवस्थित हुनु",verb,
existing,विद्यमान,adjective,"Eg, विद्यमान प्रयोगकर्ता"
expected,अपेक्षित,adjective,
exporter,निर्यातक,noun,
featured,विशेष,noun,
"featured image","विशेष तस्बिर",noun,
feed,फिड,noun,
field,फिल्ड,noun,
file,फाइल,noun,"Do not use फाईल"
footer,फुटर,noun,
footnote,फुटनोट,noun,
form,फाराम,noun,"फारम is also correct but use फाराम for consistency."
format,ढाँचा,noun,
formatted,ढाँचाबद्ध,adjective,
forum,"फोरम, मञ्च",noun,
front,अगाडि,noun,
"front page",मुखपृष्ठ,noun,
frontend,फ्रन्टइन्ड,noun,
FTP,एफटीपी,noun,
function,फङ्कसन,noun,
gallery,ग्यालरी,noun,
general,"साधारण, जनरल",adjective,
globally,"सर्वव्यापी, विश्वव्यापी",adjective,
"go to","जानुहोस् ",noun,
GPL,जिपिएल,noun,
Gravatar,ग्राभटार,noun,
gray,खरानी,adjective,
group,समूह,noun,
group,"समूहबद्ध गर्नु",verb,
GUID,जियुआईडी,noun,
handler,ह्यान्डलर,noun,
header,हेडर,noun,
heading,हेडिङ,noun,
health,स्वास्थ्य,noun,
height,उचाइ,noun,
help,सहयोग,noun,
hierarchy,पदानुक्रम,noun,
hint,सङ्केत,noun,"संकेत is also correct but we are using सङ्केत for consistency."
HTML,एचटिएमएल,noun,
HTTP,एचटिटिपी,noun,
HTTPS,एचटिटिपिएस,noun,
icon,आइकन,noun,
id,आईडी,noun,"Same for ID"
identifier,परिचायक,noun,
image,तस्बिर,noun,
importer,आयातक,noun,
inactive,निष्क्रिय,noun,
inclusive,समावेशी,noun,
incompatible,प्रतिकूल,adjective,
index,इन्डेक्स,noun,
indigo,"गाढा निलो",noun,
individual,"व्यक्तिगत, छुट्टाछुट्टै ",adjective,
input,इनपुट,noun,
inserter,इन्सर्टर,noun,
install,"स्थापना गर्नु",verb,
integer,पूर्णाङ्क,noun,
invalid,अमान्य,adjective,
involved,संलग्न,adjective,
IP,आईपी,noun,
item,आइटम,noun,
key,की,noun,
keyboard,किबोर्ड,noun,
large,ठूलो,adjective,
latest,नवीनतम,noun,
layout,लेआउट,noun,
level,स्तर,noun,
library,"लाइब्रेरी, पुस्तकालय",noun,
license,लाइसेन्स,noun,
light,"उज्यालो, हलुको, हल्का",adjective,"Please use appropriate translation based on context."
limited,सीमित,adjective,
link,लिङ्क,noun,
list,सूची,noun,"सुचि is not correct"
"live preview","प्रत्यक्ष पूर्वावलोकन",noun,
local,स्थानीय,adjective,
localized,स्थानीयकृत,adjective,
location,"स्थान, स्थल",noun,
login,"लगइन ",noun,
logo,लोगो,noun,
logout,"लगआउट ",noun,
loop,लुप,noun,
luminous,उज्यालो,adjective,
machine,मेसिन,noun,
management,व्यवस्थापन,noun,
manual,म्यानुअल,noun,
maroon,कलेजी,adjective,
maximum,अधिकतम,noun,
meeting,"मिटिङ, बैठक",noun,
meetup,मिटअप,noun,
menu,मेनु,noun,
message,सन्देश,noun,
Microformat,माइक्रोफर्म्याट,noun,
minimum,न्यूनतम,noun,
moderation,"नियन्त्रण, जाँच ",noun,"Please use the word carefully understanding the context."
"most used",सर्वप्रिय,adjective,
multiple,बहुसङ्ख्यक,noun,
multisite,मल्टिसाइट,noun,
"Must Use",परमावश्यक,adjective,plugins
MySQL,माइएसक्युएल,noun,
navigation,नेभिगेसन,noun,
Network,नेटवर्क,noun,
new,नयाँ,adjective,
non-empty,गैररिक्त,adjective,
number,"नम्बर, अङ्क, सङ्ख्या",noun,"Use appropriate based on context."
numbered,सङ्ख्यात्मक,adjective,
object,अब्जेक्ट,noun,
operation,सञ्चालन,noun,"संचालन is not correct."
option,विकल्प,noun,
outline,रूपरेखा,noun,
overview,परिदृश्य,noun,
page,पृष्ठ,noun,
pagination,पृष्ठाङ्कन,noun,
pale,फिक्का,adjective,
"parent theme","प्यारेन्ट थिम",noun,
password,पासवर्ड,noun,
pattern,प्याटर्न,noun,
patterns,प्याटर्नहरू,noun,
PDF,पिडिएफ,noun,
pending,विचाराधीन,noun,
performance,कार्यसम्पादन,noun,
performant,"निपुण, दक्ष, कार्यकुशल",adjective,
permalink,पर्मालिङ्क,noun,
permanent,स्थायी,adjective,
permission,अनुमति,noun,
persistent,दृढ,adjective,
photo,फोटो,noun,
PHP,पिएचपी,noun,
picture,तस्बिर,noun,
pingback,पिङब्याक,noun,
pink,गुलाबी,adjective,
pixel,पिक्सेल,noun,"Same for px also"
platform,प्लेटफर्म,noun,
playlist,प्लेलिस्ट,noun,
plugin,प्लगिन,noun,
policy,"नीति ",noun,
popular,लोकप्रिय,noun,"प्रख्यात is not correct. प्रख्यात = famous"
post,पोस्ट,noun,
post,"पोस्ट गर्नु",verb,
pre-publish,पूर्वप्रकाशन,noun,
preference,"रोजाइ, अभिरुची",noun,
preformatted,पूर्वस्वरूपित,adjective,
preview,पूर्वावलोकन,noun,
privacy,गोपनीयता,noun,
profile,प्रोफाइल,noun,
project,परियोजना,noun,
property,"गुण, सम्पत्ति",noun,
protected,संरक्षित,adjective,
publish,"प्रकाशित गर्नु",verb,
purple,प्याजी,adjective,
purpose,"प्रयोजन, उद्देश्य",noun,
quote,वाणी,noun,
random,"अनियमित, क्रमरहित",adjective,
rating,रेटिङ्ग,noun,
readable,पठनीय,adjective,
recovery,पुनर्प्राप्ति,noun,
redirect,"रिडिरेक्ट गर्नु",verb,
release,रिलीज,noun,
remove,हटाउनु,verb,
repair,मर्मत,noun,"Do not use मरम्मत"
repeat,दोहोर्‍याउनु,verb,
replace,"प्रतिस्थापन गर्नु, बदल्नु",verb,
repo,रिपो,noun,
repository,रिपजिटरी,noun,
required,"आवश्यक, अनिवार्य",adverb,
resize,"रिसाइज गर्नु",verb,
resolution,रिजोलुसन,noun,
response,प्रतिक्रिया,noun,
restore,"पुनर्स्थापना गर्नु",verb,
result,नतिजा,noun,
resume,"सुचारु गर्नु",verb,
return,"फर्कनुहोस् ",noun,
review,समीक्षा,noun,
revision,संशोधन,noun,
role,भूमिका,noun,
row,पङ्क्ति,noun,
RTL,आरटिएल,noun,
schedule,अनुसूची,noun,
scheduled,अनुसूचित,adjective,
screen,स्क्रिन,noun,
screenshot,स्क्रिनसट,noun,
"search engine","सर्च इन्जिन",noun,
second,सेकेण्ड,noun,
set,"सेट गर्नु",verb,
setting,सेटिङ,noun,
setup,सेटअप,noun,
"sharing dialog","सेयरिङ डाइलग",noun,
showcase,सोकेस,noun,
sidebar,साइडबार,noun,
site,साइट,noun,"Do not use साईट"
size,"साइज, आकार",noun,
slug,स्लग,noun,
sorry,"माफ गर्नुहोस्",verb,
source,स्रोत,noun,
space,स्पेस,noun,
specified,निर्दिष्ट,adjective,
stage,मञ्च,noun,
standard,स्तरीय,adjective,"स्तरिय is wrong."
"standard time","मानक समय",noun,
start,सुरु,noun,"Do NOT use शुरु"
static,स्थिर,noun,
status,"स्थिति, स्टाटस",noun,
sticky,स्टिकी,noun,
string,स्ट्रिङ,noun,
structure,"संरचना, बनावट, बनोट",noun,
style,स्टाइल,noun,
stylesheet,स्टाइलसिट,noun,
submit,"पेस गर्नु",verb,"पेश गर्नु is not correct"
subtitle,उपशीर्षक,noun,
summary,सारांश,noun,
"super admin","वरिष्ठ प्रशासक",noun,
support,"सहायता, समर्थन",noun,
sync,"सिङ्क गर्नु",verb,
table,टेबुल,noun,
tag,ट्याग,noun,
"take over","अधिग्रहण गर्नु",verb,
taxonomy,ट्याक्सोनोमी,noun,
team,"टोली / टिम",noun,
template,टेम्प्लेट,noun,
temporary,अस्थायी,adjective,
term,टर्म,noun,
testimonial,प्रशंसापत्र,noun,
theme,थिम,noun,
thread,थ्रेड,noun,
"Threaded Comments","थ्रेड गरिएका टिप्पणीहरू",noun,
thumbnail,थम्बनेल,noun,
timezone,"टाइमजोन, समयक्षेत्र",noun,
title,शीर्षक,noun,
toolbar,टुलबार,noun,
trackback,ट्र्याकब्याक,noun,
translated,अनूदित,adjective,
trash,रद्दीटोकरी,noun,
try,"प्रयास गर्नु, कोसिस गर्नु",verb,
tutorial,व्याख्यान,noun,
type,प्रकार,noun,
Typography,टाइपोग्राफी,noun,
UI,यूआई,noun,
unapprove,"अस्वीकृत गर्नु",verb,
unexpected,अनपेक्षित,adjective,"This is better than अप्रत्याशित"
ungroup,"असमूहीकृत गर्नु",verb,
"up to date",नवीनतम,adjective,"Eg, up to date list -> नवीनतम नामावली"
update,अपडेट,noun,
update,"अपडेट गर्नु",verb,
upgrade,"अपग्रेड गर्नु",verb,
upload,अपलोड,noun,
URL,युआरएल,noun,
user,प्रयोगकर्ता,noun,
username,"युजरनेम ",noun,
value,मान,noun,
variant,भेरियन्ट,noun,
variation,"विविधता, भिन्नता",noun,
verification,प्रमाणीकरण,noun,
verse,श्लोक,noun,
version,संस्करण,noun,
violet,बैजनी,adjective,
visibility,"दृश्यता, दृश्यात्मक",noun,
visible,दृश्यमान,adjective,
"visual editor","दृश्य सम्पादक",noun,
Vivid,चहकिलो,adjective,
waiting,"प्रतीक्षा गर्दै",adjective,
widget,विजेट,noun,
wildcard,वाइल्डकार्ड,noun,
WordCamp,वर्डक्याम्प,noun,
WordPress,वर्डप्रेस,noun,
writable,लेखनीय,adjective,
yellow,पहेँलो,adjective,
